,count,mean,std,min,25%,50%,75%,max
DivDummy,9004.0000,0.9138,0.2807,0.0000,1.0000,1.0000,1.0000,1.0000
DivPayRate,9004.0000,0.4200,0.3710,0.0000,0.2095,0.3303,0.5115,2.3527
treat,9004.0000,0.5419,0.4983,0.0000,0.0000,1.0000,1.0000,1.0000
post,9004.0000,0.3781,0.4849,0.0000,0.0000,0.0000,1.0000,1.0000
SIZE,9004.0000,22.8386,1.3510,20.3986,21.8417,22.6517,23.6330,26.9506
AGE,9004.0000,2.3633,0.8689,0.0000,1.7918,2.5649,3.1355,3.4657
LEV,9004.0000,0.4219,0.1813,0.0702,0.2786,0.4219,0.5558,0.8234
ROA,9004.0000,0.0552,0.0437,0.0016,0.0229,0.0446,0.0762,0.2252
GROWTH,9004.0000,0.1173,0.2777,-0.4683,-0.0357,0.0778,0.2124,1.4425
CFO,9004.0000,0.0634,0.0606,-0.1067,0.0267,0.0601,0.0983,0.2444
TOP,9004.0000,0.3576,0.1515,0.0883,0.2422,0.3368,0.4621,0.7559
INDEP,9004.0000,37.8759,5.4304,33.3300,33.3300,36.3600,42.8600,57.1400
MH,9004.0000,12.6014,19.2000,0.0000,0.0032,0.5890,21.9036,68.3619
HHI_BANK,9004.0000,0.0938,0.0437,0.0493,0.0666,0.0784,0.1042,0.2557
MKT,9004.0000,11.0042,1.6666,6.0610,10.0870,11.2730,12.1210,13.8670
