排名,变量,平均重要性,标准差
1,Dividend_lag,0.30460630942755546,0.09104837954912214
2,ROA,0.12742470824853502,0.04953838718736787
3,Retainedearn_ratio,0.06660730747877819,0.017786076491528018
4,Tax_ratio,0.049574747258651936,0.022809909397079827
5,Lev,0.027831592967209065,0.013870986022510681
6,Growth,0.02615797665292741,0.009974692362971818
7,Tax_volatility,0.02176463970202587,0.00883514728013377
8,Da_abs,0.02054646990449796,0.006704552746290877
9,Institution,0.020359706448792782,0.009495138541970075
10,Tunneling,0.019991711611862986,0.01106147062453192
11,Tax_avoid,0.01995446155441303,0.007128596077582686
12,Freecash2,0.01884115127799686,0.006999494784655112
13,Minorityrate,0.018629285159053106,0.008628922656529283
14,Sharebalance,0.01724091271130559,0.008954078247146308
15,Cashflow,0.015886099446910894,0.006247566494861765
16,Btenure,0.015619219207361576,0.009381592089790627
17,Lnsize,0.015330019033231963,0.006882343231320833
18,Top1,0.014976408891965035,0.006212781847746428
19,Bage,0.014350128938494832,0.007474446196803077
20,Constraint,0.013049315189147334,0.006795490605057765
21,Managefee_ratio,0.012652583553697326,0.004704441160323234
22,Manageshare,0.011982908165891419,0.00690593012971017
23,Bsalary,0.011656930352415782,0.005954552618786494
24,Sentiment,0.011626753643091106,0.0035134952356933964
25,Market_idx,0.010518291085713624,0.006118162128506708
26,Tobinq,0.009240807191069574,0.006105408089091575
27,BM,0.009184133522625627,0.005857413500661779
28,Bshare,0.007397582308759981,0.004329488238714188
29,Indep_ratio,0.00726855979069863,0.006107360639592861
30,Bgender,0.007258221013346732,0.0037637721804304014
31,Analyst_num,0.007109276562586947,0.003427443635899779
32,Pledge,0.004499707423315079,0.0035093997227878234
33,ind31,0.003475766444406248,0.008208041306565201
34,ind22,0.0032992464212227984,0.008282103151316975
35,ind27,0.0028303533085490703,0.007563198757615052
36,ind18,0.0024983618024188798,0.0034926706422446774
37,ind23,0.0019984602508309537,0.002693815628061274
38,ind12,0.0019468476965802367,0.003322861550998146
39,ind28,0.001914218173870106,0.0015931287712099705
40,ind20,0.001671914207844331,0.002967517280307925
41,ind8,0.0016528882909242278,0.002780407666537282
42,Soe,0.001630964865187606,0.003467028986555349
43,ind39,0.0014658934081742754,0.004116530887580175
44,ind7,0.0014640503698843733,0.002796402321568023
45,ind3,0.001301976428657194,0.0026532161987964614
46,ind21,0.0011544527662042535,0.0017260733967811555
47,ind16,0.0010947105405845444,0.0012563596573228993
48,ind5,0.001073549505876207,0.0020459935515852244
49,ind17,0.0010255629047533858,0.0011258477984124522
50,Refinance,0.000980070961166791,0.0007759307054325723
51,ind15,0.0009131219844576455,0.0012158125063332513
52,ind32,0.0008590991702183386,0.001664444568295212
53,ind25,0.0008336774579652861,0.0009004689627628676
54,ind24,0.0008280842815159225,0.0008429914827485764
55,ind2,0.0006745913761632941,0.0012998406699985753
56,ind29,0.0006693629323620105,0.0008271862945834429
57,ind26,0.00049542208794868,0.001053076777101722
58,Equity,0.00048158586235476906,0.00028497291049381113
59,ind19,0.0004615632426811158,0.0005348265632354995
60,ind34,0.0003320806147150969,0.00037229048112021794
61,ind33,0.00031636275303972773,0.00045409240202919576
62,ind35,0.0002859508723041269,0.0003486238841409313
63,ind41,0.00025996802261258933,0.0006469783369812973
64,ind37,0.0002465858796453369,0.0003158981834956863
65,ind38,0.0002098030468729045,0.0001413475097529537
66,ind4,0.00019759784311356224,0.0003754019209642693
67,ind40,0.00017499837045770877,0.00047335893451611917
68,ind1,6.545692498045331e-05,0.0001362812608392064
69,ind11,4.2809662777689315e-05,9.710372619246038e-05
70,ind30,2.189359487923045e-05,3.339929463755948e-05
71,ind42,1.2769947870322521e-05,3.8187788155899715e-05
