主成分,解释方差比,累积解释方差比
PC1,0.1275,0.1275
PC2,0.1055,0.2329
PC3,0.079,0.312
PC4,0.0577,0.3696
PC5,0.0472,0.4169
PC6,0.0411,0.458
PC7,0.0375,0.4955
PC8,0.0367,0.5322
PC9,0.0342,0.5664
PC10,0.0329,0.5994
PC11,0.0315,0.6308
PC12,0.0302,0.661
PC13,0.0287,0.6897
PC14,0.0272,0.7169
PC15,0.0257,0.7426
PC16,0.025,0.7676
PC17,0.0237,0.7913
PC18,0.0223,0.8136
PC19,0.0221,0.8357
PC20,0.021,0.8567
PC21,0.0202,0.8769
PC22,0.0191,0.8959
PC23,0.0183,0.9142
PC24,0.0167,0.931
PC25,0.0157,0.9466
PC26,0.0137,0.9603
PC27,0.0105,0.9708
PC28,0.0078,0.9786
PC29,0.0065,0.9851
PC30,0.0051,0.9902
PC31,0.0031,0.9933
PC32,0.0026,0.9959
PC33,0.0019,0.9978
PC34,0.0014,0.9992
PC35,0.0008,1.0
