Stkcd,year,Dividend_ratio1,Dividend_ratio2,Dividend_ratio3,Dividend,Managefee_ratio,Manageshare,Indep_ratio,Bgender,Bshare,Bage,Btenure,Bsalary,Equity,Da_abs,Tunneling,Top1,Sharebalance,Minorityrate,Institution,Pledge,Retainedearn_ratio,Freecash2,Tax_avoid,Tax_ratio,Tax_volatility,Constraint,Refinance,Sentiment,Dividend_lag,ROA,Cashflow,Tobinq,BM,Lev,Soe,Growth,Lnsize,Analyst_num,Market_idx,ind1,ind2,ind3,ind4,ind5,ind7,ind8,ind11,ind12,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind37,ind38,ind39,ind40,ind41,ind42
2,2014,.3504981630391275,1.0854953936598,3.597122302158273,1,.0266594090164101,.1815,.3636363636363636,.0909090909090909,.0006901196830943,4.158883083359671,5.017279836814924,15.26923012909839,0,.0480341148847136,.0962305687611177,14.91,1.2515,85.3,49.166,0,.1338915090409448,.0752100505099857,.0153772577206193,.236209,.0117434896091409,-3.300194,0,1.1600611,.2987156714601915,.0379370414506561,3.149574622048536,1.064914,.939043,.772046378656046,1,.0810021514043902,25.63768595401653,3.6109178,10.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2009,.1865178668573294,.8369329068931338,1.059135039717564,1,.0337769527804838,2.3973,.3333333333333333,.1111111111111111,.009350324340948,3.988984046564275,4.382026634673881,13.40332441421193,0,.0131712984759587,.0009461110751773,18.76,.5570000000000001,81.23999999999999,37.1582,0,.1219328787554859,.0709050156572825,.4660651250236141,.170847,.0385216829357182,-3.9535,0,-.1050237,.2701023687977744,.0460975934785271,.7276042683758754,1.475423,.677772,.6985768064896655,1,.8098807370430048,22.70730098027619,2.5649493,9.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2010,.0947903238037461,.5327367333451068,.860832137733142,1,.0297194946160032,2.2446,.3333333333333333,.1111111111111111,.0084272628592122,4.007333185232471,4.52178857704904,13.71181643088723,0,.0639517633329711,.0013088124351297,19.93,1.0396,81.23999999999999,40.1208,0,.1229879728051165,.1307499061108303,.2544000829350165,.217822,.0536134190832855,-3.9878,0,.047842316,.1865178668573294,.0579420590229907,1.428573855656932,1.311918,.762243,.7014206033085816,1,.2647032484057854,22.87133544761853,2.6390574,9.835000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2012,.2083298611689805,1.37605732828488,2.02020202020202,1,.0202521806163298,1.3798,.3333333333333333,.1111111111111111,.0050338973599363,4.04305126783455,4.753590191106364,13.66050451241604,0,.0955533598486572,.0022285102838621,19.93,1.1746,62.58,50.9419,0,.1599814247919256,.2341242023120397,.0213033865347069,.255115,.0730642869273354,-4.063858,0,-.027947346,.0911595725527643,.0673805403872061,1.69681421513696,1.296547,.771279,.6201650001341875,1,.1880718564828366,22.95793928724029,1.7917595,9.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2018,.3011164471347612,1.944702075541335,3.764478764478765,1,.053073894271377,0,.4285714285714285,.1428571428571428,0,3.931825632724326,3.091042453358316,14.05287333522146,0,.0831168098138618,.0057990288013763,21.93,.8819,66,41.778,0,.3223343524554704,.1279358150107427,.0528858763825623,.136446,.0652912508893803,-4.27969,0,-.038741939,.3032994285905793,.0681942773429723,1.190139460785844,1.044756,.957162,.5282362718093485,1,-.1512462712631641,23.32867243452097,0,10.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2019,.6341294828991132,3.40228430825051,3.289473684210526,1,.0235708304534696,.0088,.3333333333333333,.3333333333333333,0,4.04305126783455,2.397895272798371,13.86430167451421,0,.0441866953732635,.0038019836587867,63.79,.1409,27.98,72.21599999999999,0,.2723696469015154,-.0887859712719449,.043321365593961,.103753,.1039834971459414,-4.235245,0,-.34556821,.3737982386626995,.0567546329525106,.1649006599237614,1.119354,.8933720000000001,.3175804840398254,1,.0279958711232871,22.63651513367911,0,11.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2020,.5690288952873027,3.153576910652303,2.666666666666667,1,.0239877819086975,0,.3333333333333333,.3333333333333333,0,4.060443010546419,3.13549421592915,14.34543326607189,0,.0441335440038259,.0030961628506567,63.79,.1481,27.98,72.9079,0,.2763439402719081,.025876295195617,.0422607335076771,.118099,.0783392150247882,-4.273357,0,-.35993397,.6341294828991132,.0552402005802838,.2486069048869198,1.183802,.844736,.343960406644108,1,.0745519293135068,22.71242485926985,0,11.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2011,.5245461364554319,1.276297858200806,1.949317738791423,1,.0160304772619522,.1398,.3333333333333333,0,.0012664633817554,4.158883083359671,3.871201010907891,14.95523311959641,0,.0777817805117693,.007992095689919,49.64,.1978,42.26,62.9427,0,.2283377874636959,-.0364085049586365,.0057838799428933,.161559,.0730042440499181,-3.858443,1,-.063123859,.5149967040210942,.0212970685287489,.1289153738351332,1.236506,.8087299999999999,.5820133979631055,1,-.1030814444241464,23.05897179232574,1.7917595,9.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,2011,.246314519009323,1.356347661655068,.7633587786259542,1,.0766608419344179,.0169,.3333333333333333,.1111111111111111,0,3.912023005428146,4.68213122712422,0,0,.0552970539918957,.0113679369526489,41.49,.2564,58.51,70.6408,0,.1640266895260085,-.2214193560305441,.0548549618204016,.168702,.0224818371691461,-3.862543,0,-.19747849,.2984869695513442,.0549971104114743,-1.042577119686496,1.487629,.67221,.5186937227590219,1,.4381851634836164,21.78651888243296,2.5649493,9.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2012,.338582490545084,1.180630458540377,1.246882793017456,1,.063957377664955,.0169,.3333333333333333,.1111111111111111,0,3.931825632724326,1.09861228866811,0,0,.0214229348599056,.0100258413328766,41.49,.1723,58.51,60.2013,0,.1609889927826597,-.0209491884032173,.0577229195598371,.152593,.0203022915036702,-3.90886,0,-.3967678,.246314519009323,.0347664793532097,.1167271135492829,1.235958,.8090889999999999,.5644159611688149,1,.180748947881159,21.92526584404493,2.9957323,9.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
